"","word","RC1","RC5","RC2","RC4","RC6","RC3","RC7"
"1","hour",0.667263510177199,0.16046147880834,-0.0477907931032754,-0.151210233999161,-0.0284781052377199,0.0764319211049126,0.179955480149872
"2","night",0.575744458444323,0.197690048005699,-0.024565524989933,0.138497258152509,-0.0450552632440863,0.0971674410211332,0.187440680289552
"3","late",0.557918374831939,0.088655913095092,-0.00607181487626975,0.0210351966285843,0.14696402704605,0.0885275799194552,0.0255484585737457
"4","plan",0.536150064376304,-0.0382439186077145,0.132284122229994,0.145692429907819,-0.314077744480084,-0.0563188759473982,-0.113339484625662
"5","day",0.501314194225897,-0.0090829940792659,0.148245742321408,0.106688770135027,0.0585699955302526,0.0741003355701821,-0.0366455238417737
"6","call",0.486601583069592,0.123109852756094,0.107794839225406,0.169336691072412,0.0864741267794635,-0.193654265969298,0.138650498783361
"7","spend",0.468269376411977,-0.00627005600105699,0.237465436566732,0.061389849132236,0.106485768443095,0.202075389021315,0.0316779921533393
"8","phone",0.441201912402045,0.0646551305890303,0.128224086060135,0.202784261488676,-0.171362610407165,-0.00283509714433615,0.26594035623437
"9","give",0.402963092668711,0.0495999855169008,0.109214527367196,0.0539813609613085,0.17198380577627,0.17151811880468,-0.0860771808800711
"10","work",0.391166098031149,0.0350619929489113,0.0169712208831177,-0.217359814765193,0.359675052728989,0.00688842182082485,0.0550131856073202
"11","end",0.386809780701202,0.178133970789708,0.0616526977222457,0.182551922647544,0.213414116494594,-0.155043795361726,0.132700775870478
"12","week",0.37525480049148,-0.0157992011431211,0.0898542473439469,0.296641251571992,0.182332668117056,0.289272025188348,-0.127420159288671
"13","look",0.33894384261728,0.227567520711898,-0.0132520435660186,-0.0633187170479517,-0.0614730388678731,0.167930966320533,-0.032227898678224
"14","long",0.327487693633001,0.164726840409126,0.0548771234256262,0.187800318092919,0.114172397463435,-0.062376321424531,-0.0549637167677152
"15","see",0.302018032057091,0.232063875454775,0.152485896841325,0.18974803981155,0.0360350419952346,0.140607426614936,0.0874575583478652
"16","place",0.272351369809876,0.0542857366331244,-0.0139263012103899,-0.0535130323231027,0.00757087088037894,0.205107620244988,0.110455107284843
"17","show",0.264633588007615,0.13772570339643,0.0628662235864357,-0.0175964889559557,0.245314364102136,0.182787750879439,0.0882733455129351
"18","fact",0.256350654787396,0.240782212037994,-0.0355690141587879,0.0531487881382522,-0.0202749060430483,0.249195652329378,0.136868797368955
"19","upset",0.111541361381611,-0.00368913368138079,0.0702464978446753,0.0496159115855484,-0.0398491259167906,0.0453547397755775,-0.0304655856147954
"20","people",0.0694417743281919,0.502671114022981,-0.0306654433412593,0.0211475512660899,-0.00232598824006606,-0.00836881546798323,0.109272322342599
"21","person",0.00929065915465718,0.498136570043858,-0.0144009629309993,0.057288097136783,-0.0043102623654076,-0.0218110261831274,-0.108473993847725
"22","happen",-0.121444060681555,0.475394286945407,0.187596348199168,0.113357185431968,0.113799301229127,0.232820785217296,0.122813324481434
"23","walk",0.00311247353778979,0.46504555828868,-0.113644300729296,-0.339366539044751,-0.0210758222367766,0.299540445889716,0.0359242731603992
"24","feeling",-0.107560143384666,0.450857592553127,-0.0727094617575874,0.395144460801725,-0.0442646412815399,-0.0510172079406273,-0.197005589307133
"25","lie",0.0628762001031279,0.43326563077343,-0.0265703198697916,0.172747679924428,0.0116055181137487,0.126395209517165,-0.12944316440898
"26","talk",0.19171557762725,0.424865705675558,-0.0981129146896679,0.297096968110251,0.181844894973406,-0.0397775489352568,0.0361406897065013
"27","hurt",-0.0715060525359544,0.413331309442536,0.325265859521375,0.270322361145981,-0.00707499745249211,0.0298341457515489,0.0786053155926287
"28","hear",0.116852301583985,0.406330477225205,0.0525947679918562,0.275544299907171,0.00456863985395107,0.106602812913805,0.214490789580664
"29","completely",0.129311938470895,0.399329435781956,0.104852837851235,0.132013962647199,0.0191057768233749,0.0399294909901744,-0.0972381306644403
"30","group",0.328999405146443,0.393630272040501,-0.316034461111274,-0.0257099910605811,0.0814898605704426,-0.185547259937155,-0.0642490018967951
"31","mean",0.187722130082787,0.3794296981744,0.192349718266042,-0.0276839170007865,0.0574535864293808,-0.0749294042127255,0.0433563904669285
"32","decide",0.275639871244676,0.342491383162751,0.0290257056759038,0.0811074145964334,-0.000306127960450877,0.127779703200978,-0.0544405940957629
"33","right",0.0962472279191571,0.342371976885085,0.0648379403823745,-0.121151395914262,0.0219554686313562,0.0192277957766656,0.0428888270954702
"34","close",0.115334546635168,0.341010575384175,-0.0642728560661141,0.22077208212708,0.112489959672312,0.0783324655755289,0.158428800813829
"35","extremely",0.0246709788871938,0.33183794927842,0.107513504630355,-0.0889944655907653,-0.010774196031615,0.0480053467477623,-0.0368267847081384
"36","stop",0.0972287008838975,0.324681387876047,0.0303562806068528,-0.162100696044179,0.322154212085021,0.159390371349294,0.245710701883252
"37","explain",0.299185190827544,0.313764500153057,0.0825118064886075,0.167074337128396,-0.231274809185221,0.0226795370653078,-0.0327404991671755
"38","care",0.219400123438469,0.30141661473836,0.209940163266203,0.204411021803663,-0.100881019798903,0.103141147323997,0.0440294718737224
"39","find",0.165632904718924,0.293976572778407,0.0542139605041465,0.187135693174581,-0.0224241448244254,0.0387510839238709,-0.0718884772444015
"40","begin",0.177124478540587,0.274701524583401,0.14054416339304,-0.0664929812543882,0.258276113906127,0.181482421803455,-0.0616918477211088
"41","brother",-0.0372454003401553,0.0335732980109985,0.583156624142173,-0.270013780896747,-0.162075158277884,-0.0212561426632275,0.308634346505578
"42","family",0.0865095829069,0.0439900435169103,0.58234456574674,0.00312427971217088,-0.0840943143003649,0.0751070363067475,-7.83828271426707e-05
"43","mom",0.155130630151434,0.0706355356419056,0.564299683510443,-0.220689694993881,0.0323998518935043,-0.0151677053279221,0.164106794572738
"44","parent",0.132531127258761,-0.0681817126774114,0.550552661603139,-0.114259375410377,-0.0125907364610438,0.0121474366249895,0.000403202556536466
"45","life",0.105440630490852,0.275862450336749,0.538431434683905,0.230263558141548,-0.120370504324479,0.246297052410192,-0.19921132030952
"46","dad",0.101576139165316,-0.159811485915221,0.524029034929623,-0.101018247097335,0.263193587399998,0.112989696778502,0.195984313306575
"47","roommate",0.143175050462131,-0.148555476343669,-0.517449047317921,-0.0461674786995898,-0.29513495996221,0.504119209246247,-0.0560483369194565
"48","sister",-0.0745173122566548,0.0453778533775333,0.462885555264769,0.113438440476997,-0.117778960556415,-0.111986614975095,0.218164703982589
"49","year",0.225079742528417,0.0651193593950673,0.434289609497675,0.129145749500358,0.279852302617083,0.103003163170541,-0.298616116465838
"50","annoy",0.200908009921656,0.0179319021388998,-0.349846818402555,-0.173727413400781,0.191986134569656,0.155875637573446,0.0514953752464046
"51","remember",0.17459913327374,0.15870125346116,0.341215361930262,0.00393766833999617,0.141620101997497,-0.0234443603586978,-0.0123332595014657
"52","cry",0.184681391340177,0.145426710807284,0.334354987769893,0.0403875489571143,0.193150678210755,0.144464465416388,-0.0413691448437744
"53","understand",0.115317880157221,0.052178624965297,0.291614566842356,0.103956507299236,0.0314598076247923,-0.0193037851194279,-0.0715990067327056
"54","wrong",-0.0566254013667541,0.0301117094732934,0.187076122781939,0.10014377889992,0.0844288962319281,0.0963589952724819,0.0208919214338171
"55","relationship",-0.0394722565376296,0.13136439355851,0.219341800448607,0.626366248532603,0.111842075762012,0.0866382052338823,-0.143220621993591
"56","boyfriend",0.170002502685439,-0.11547826062133,-0.0655194187454587,0.537528758358772,0.0440816026793084,-0.0255267607317468,-0.0585013920176352
"57","class",0.313379382980802,0.163073656385288,-0.217575877538344,-0.516696414052548,0.0824976610893558,-0.0587039443767168,-0.425229165811308
"58","hang",0.309383918135848,0.199451774990859,-0.0814461961696876,0.498346701245379,-0.0700792448435289,-0.0400173210708664,0.163050769850127
"59","ignore",0.1066805898526,0.196506966238816,-0.0684532763176449,0.446177483640225,-0.0718816393530978,0.0829385616366511,0.108187085416396
"60","together",0.235478561713399,0.130729391546896,-0.00546971927318819,0.421156234973268,0.0945087528732347,0.357297993568712,-0.147848289519987
"61","month",0.201653375585315,0.285720424014527,0.140698305471493,0.41574838641947,0.206984296215724,0.139007887197392,0.00703185309465314
"62","girl",0.14495319238802,0.329061472985552,-0.262152254778216,0.396893232768456,0.225241654043809,-0.124701855762239,-0.0321185926571221
"63","break.",0.178313887153923,0.0907816546693423,0.279387158433371,0.330145981405864,0.0228362953811694,0.0423403678437412,-0.0734118012435905
"64","game",-0.148257382761729,-0.205898267302498,-0.00355232221660438,0.0161588603618155,0.592449757181848,-0.246289479563823,0.121123661665679
"65","play",-0.07358591836149,-0.103121273637601,0.00133864047859311,0.108012157226754,0.586999001858143,-0.109456195395198,0.0624070583023413
"66","eventually",0.00779452804754638,-0.0738499787797233,0.01620080516858,0.155619203324553,0.567546911543169,0.146805978942233,-0.0103675215667207
"67","pretty",-0.0112225125076177,0.285120497326158,-0.133183675817815,0.339196463668574,0.444836163395177,-0.0377534744341943,-0.0193715663909362
"68","point",0.0718794523725453,0.282025946094377,-0.0264300464954333,0.104666391608691,0.426321341589456,0.274563939763397,0.00219627631780191
"69","start",0.128024806828467,0.13404706877386,0.141512556941574,0.0345066119210538,0.419939126991535,0.0641997455529513,0.104230509927856
"70","experience",-0.0224780820436479,0.203894574144824,0.135717204983395,0.0667147073904601,-0.258836666325083,0.00920676095744785,-0.192121336931507
"71","frustrate",0.0175126018636925,0.151902748908306,-0.042996672959218,-0.112567520188609,0.227964950066277,0.080757421563596,0.11518154166046
"72","reason",0.0585365567207648,0.0157924316193196,0.175793834565192,0.0254748658226339,0.186384403129508,0.0619937283525533,-0.00680848818481447
"73","turn",-0.0116951138095501,0.0654379189212998,0.093373894854785,0.0722247408347845,0.2884256539843,0.516098908831591,-0.0203039880687296
"74","room",0.111108668702019,0.0985840337299758,-0.0460273381531449,-0.0398381113683196,-0.158434345658779,0.503435093347531,0.251009039675147
"75","move",0.265382237864965,-0.241467881114348,0.172248451747758,0.228762970631268,0.206806305622468,0.501792249479751,-0.129892764411735
"76","leave",0.364844343404225,0.0285016193268388,-0.0372405501962839,0.0468882415623695,0.0928687934933944,0.486453370947952,0.122560396309609
"77","live",0.281194018023073,0.083968759429101,0.0828104904882476,0.205484902212246,-0.172293338189568,0.456114371121949,0.0496556111306651
"78","realize",-0.010324885847296,0.0863412854801487,0.0524120834453923,-0.0675714410015165,0.0287407281323258,0.429607490352119,-0.0497383223602318
"79","nothing",-0.182560161628361,0.290835008814197,0.130836557269935,0.0670205836884632,0.0955106193809563,0.320758114667359,-0.0482069587532403
"80","big",0.221618854798931,0.209442973537672,0.00435333884257437,0.00300340658138363,-0.02427533148859,0.296378365967744,0.0720867575445508
"81","moment",0.0630874241752629,0.237948777853279,0.269460399225659,0.0737725735871417,0.109482935213831,0.291324316875306,-0.145190365770795
"82","car",0.145064291739886,0.118246552490985,0.178271638116042,-0.143167181932118,0.130593523579332,0.0954702719368394,0.587124326087023
"83","yell",0.0202944078218104,0.00704246481964305,0.257956330904163,-0.1688890530398,0.127609533171767,0.0809614236274009,0.44206379293229
"84","high",0.260917817429908,0.23347645082865,0.216613034863024,-0.0889204747664938,0.373604058654698,-0.239047576688577,-0.410259753550981
"85","school",0.293795677701392,0.219812856022453,0.200523799380828,-0.110661132864981,0.354043946782588,-0.242799585716012,-0.40356942897113
"86","mad",0.068110528286807,0.0648071528613385,0.0209513817693222,0.13424566111181,0.100516734358303,-0.103494826998863,0.33560651850897
"87","house",0.270523215377002,-0.0755152906654913,0.158561918267994,0.239128966008139,-0.0237088577569382,0.290071496961016,0.325851864130036
"88","drive",0.225419676079214,0.201470114578989,0.202463511822053,-0.145528710915579,0.122578516073971,0.140101204752505,0.324409463121821
"89","justify",-0.114404376208154,0.13074664989012,0.101239219164378,-0.0836363215198617,-0.116316737153226,0.132046048668181,-0.310307921811186
"90","react",-0.144653769853559,0.0243113494096649,-0.0428831988290504,0.0787766824369602,-0.184003682545776,-0.0480020130197819,-0.284564748563241
"91","situation",0.0707948927014685,0.24019752513779,0.1396474256012,0.0301141195848179,0.0749361655935802,0.195475904053832,-0.267068678930609
"92","hard",0.213144376073367,0.226993173398413,0.143884184789578,-0.0304040210485697,0.254310306102316,-0.0832953475627526,-0.256382662793192
