"","word","RC1","RC3","RC8","RC2","RC4","RC7","RC5","RC6"
"1","relationship",0.618278907577413,0.0289561545514804,0.0565679918954829,0.210133386355702,-0.0771120912707371,-0.177979008790286,0.17673312680908,0.0892503706772211
"2","boyfriend",0.556890067924418,0.0652678598565684,-0.160350638130683,-0.0984821153295607,-0.012727439520844,-0.0968238130639472,0.0609395063886657,-0.165208866803679
"3","break.",0.512443724049576,0.035694003850818,-0.0926757995477497,0.173732313837892,0.16861504534324,0.0635094364546697,-0.0777171495206978,0.0880593997947828
"4","together",0.494276395406099,0.37515877318974,0.0561018160415525,-0.0425888145299954,0.0898440777757485,-0.101135500213567,0.0719902691837977,0.125368341733182
"5","feeling",0.49128082669165,-0.183268420738879,0.305537706841452,-0.111557642093272,0.00174422963784141,-0.172285179419043,-0.0604002071054594,0.212049517291246
"6","month",0.483106124857829,0.17735167593834,0.237261761345335,0.117804926840575,0.0914781773583069,0.0596385620250489,0.174322336399807,0.0347255520069933
"7","hang",0.481145753976227,0.152958185089099,0.262930223913721,-0.0487602486102388,-0.0956508650698613,0.0644588820237564,-0.0384752211815732,-0.290553891646191
"8","talk",0.445041466250948,-0.0163218794867157,0.326010235653045,-0.158099496251377,0.165117063901939,0.134015979488217,0.0789021065791744,0.027272767396854
"9","girl",0.437226555771296,-0.0574024655648052,0.319281305541999,-0.26720238290632,0.0958225065200268,-0.0266066130801208,0.194084540556892,-0.105496271707862
"10","week",0.398072350684171,0.396390348028518,-0.0723463171156071,0.0386301431246435,0.240253868465472,-0.0155229110485769,0.10526286539151,0.00496788130828119
"11","hurt",0.395930778663894,-0.102953913247631,0.25472075965668,0.26376624384343,-0.032770339369933,0.147313444698197,-0.0463133318663094,0.238314358337103
"12","care",0.390341448725229,0.107005645663441,0.15273344818461,0.128537922211863,0.115155952750307,0.162022209979831,-0.206598188463713,0.112674202746686
"13","phone",0.328705290015152,0.202259325247385,0.0322026461067015,0.0780732355867313,0.0541795583262333,0.305494116303958,-0.258049482171703,-0.243244896789703
"14","see",0.320581827989237,0.217163064369158,0.163809978146495,0.10279545838592,0.137811935583409,0.184287072064751,-0.0538168498943907,0.00990421580248434
"15","long",0.256745097491084,0.0990017144741703,0.177766562213573,0.0507680642454711,0.230268957086264,0.0222235558884861,0.0380221194694154,-0.167155964184625
"16","leave",0.0777057683294393,0.595945994535322,0.0686536563711621,-0.0414573413426665,0.0666357846800228,0.157315225217942,0.0595258981851732,0.0292079766229393
"17","move",0.205100327524995,0.575230516177844,-0.217774583344737,0.171438482058949,0.100770500435246,-0.0957932317685115,0.224880262732966,0.0586337191088448
"18","live",0.192798283948017,0.541776303003901,0.12532426754495,0.111556909276352,-0.0872029845787572,0.00347458670590553,-0.13559967764377,0.0375394868612637
"19","roommate",-0.0902916911920686,0.527060239634953,-0.101056429396765,-0.497294240031844,-0.155241818730968,-0.159681310394829,-0.240806146932989,0.0876186358308427
"20","room",-0.0156941965579986,0.466253435043595,0.0858044395662729,-0.0598326010683804,-0.18222347605428,0.217567378661986,-0.143525364670138,0.193916839303467
"21","turn",-0.000282673394131161,0.437016563889101,0.110316079352289,0.127655407367416,-0.0362553914418437,-0.024551282579465,0.34716111765486,0.25908226323403
"22","house",0.180634289813114,0.434261786379584,0.0121550583034911,0.187645137837833,-0.178242937185315,0.23488569717935,0.0344493383668379,-0.157560519429626
"23","big",-0.0686220502699351,0.404250292999452,0.34576469812897,0.0871248037939563,-0.0308169447591326,0.0219413858494573,0.0138793763737023,-0.0302927815647636
"24","hour",-0.00232417474158646,0.388854261783446,0.21607482320096,-0.0689218195614596,0.334864937621611,0.317822776437067,-0.20205606391067,-0.282316639241065
"25","night",0.208575763246542,0.385344899157565,0.27781591923365,-0.0113198421676431,0.155686519388614,0.222494800228595,-0.127604075214081,-0.29374563363773
"26","fact",-0.0140506772109079,0.384382816720367,0.38271401274392,0.0455961637214314,-0.0481467108571807,0.074142735839634,0.0146673866952709,-0.0885203066869754
"27","realize",-0.0922547751451322,0.349027150580353,0.0980203569303588,0.0727890899402263,-0.034926051801896,-0.0429412939281484,0.0581532132802905,0.258550234488297
"28","spend",0.244677129438809,0.348304723884433,-0.0907399953087458,0.151505262757152,0.320970973529738,0.21915069134446,-0.0492161945211478,-0.037956572667691
"29","give",0.106216335427055,0.346529426796008,0.0949542495223278,0.114229645603529,0.285686890274328,0.0194284963245085,0.0927586962191908,-0.10298513143679
"30","place",-0.000217099232854037,0.30357033285765,0.0734621339233567,-0.0252992059883569,0.0900918075474125,0.158818515511157,-0.0485283724814755,-0.032316702803623
"31","look",0.0695651987325932,0.264134227606783,0.1936220374206,-0.0443503276109697,0.227874487717237,0.0877046425945601,-0.177411683612019,0.0258414543830679
"32","upset",0.0355147260843128,0.110501364397336,0.0312189051411178,0.0911559205267569,0.0259633279217534,-0.0365622854152395,-0.0336019193675917,-0.0614243486669167
"33","group",-0.0175486657001995,0.0281661582769034,0.525817302086914,-0.247736880785433,0.243214697017619,-0.0374120006262336,0.0128594978114115,-0.259104409391605
"34","people",0.053974406942565,0.00162564448322748,0.525803935850421,-0.00111682552083782,0.0100169896368651,0.119558548266487,-0.0297103573408065,0.041713541610581
"35","person",0.0753138228017773,-0.0433815794181096,0.513068115084503,0.0280969281111245,0.0679792141048436,-0.0873802183507136,-0.0186315105032219,0.0980516345441352
"36","decide",0.0755989241484356,0.256921093526407,0.433048706827173,0.0919083611147506,0.117582081661378,-0.0402038390078616,-0.0170965718997225,-0.0601627625917304
"37","completely",0.161628935412646,0.0749852181843071,0.414387694933946,0.1374905668938,0.108478526517507,-0.0579573911964991,-0.00521999481617011,0.0432703633233352
"38","ignore",0.230681351990211,0.232272885693505,0.412531825984177,0.0812730820515872,-0.296397979173675,-0.131094469276226,0.105889035243072,-0.247724665249293
"39","extremely",-0.126281225844335,0.0612169960816532,0.410183768442777,0.176766894525564,0.0339804808827032,-0.0359719208179499,0.00101354571496642,0.0520769684154144
"40","lie",0.259006640397933,0.0727563616638006,0.362594000517731,-0.040604547682137,0.0934301045667037,-0.0672644767728904,-0.0326179636298707,0.190188806225062
"41","close",0.233806320586992,0.11129211555905,0.359904916687263,-0.0509918677749019,-0.0382794088994877,0.139189132564191,0.110447392595726,-0.00764375754603567
"42","hear",0.350724155803352,0.102477503598209,0.353076460679347,0.0295314052873059,-0.0718152069486174,0.218103762622945,-0.0187299862748421,0.0636674478062852
"43","find",0.226384267251375,0.0954290912425693,0.29395059218073,0.0694213649553415,0.083347431655949,-0.0459031402984435,-0.0468172749443819,-0.00526807295638052
"44","situation",0.00505035312210162,0.196041223251662,0.286376936675255,0.195922589909848,0.14455239627591,-0.223331753793167,0.0816869288909513,0.135162240626046
"45","right",-0.00288486350573361,0.00197200371919122,0.283704357701284,0.0330075594948001,0.151493357562605,0.155750576067619,-0.0762547034844655,0.116943177818555
"46","mean",0.164917435982731,-0.0610531354765267,0.263879130247206,0.122058731811037,0.254524581617394,0.220219856443141,-0.0953806103056589,0.0768281176509536
"47","frustrate",-0.171314530964516,0.100950583635667,0.247616032171799,0.00542281347022285,0.0160516180413924,0.108139682395362,0.239209971994203,0.00107810542075903
"48","parent",-0.166806057262627,0.121051545503487,0.0266262490980339,0.609037544435648,0.0864711863295073,0.0317237302182631,-0.00140606580346238,-0.105288783636258
"49","family",0.0346253162086511,0.0954280966965086,0.0249760966489521,0.585785002744079,0.0579224825629862,0.0648363931378841,-0.0993813841967353,0.048598473888083
"50","brother",-0.187739412107331,-0.0697562110993366,-0.0334376552435836,0.54124136889065,-0.0504629410802018,0.384801505631198,-0.212606186638157,0.0874178482455872
"51","life",0.303106379808856,0.206968457857344,0.194868965689326,0.533997276970024,0.0886041345435834,-0.115713032147129,-0.135780069977686,0.223830878166676
"52","sister",0.00938597262568565,-0.0783317670808791,0.12759649014167,0.529887708526563,-0.222856130175258,0.115463924280307,-0.0218254187306578,-0.122056411449222
"53","dad",-0.080882185013822,0.148628790435271,-0.156065253568388,0.500074248088568,0.101000436263001,0.292320502987216,0.224066089301007,-0.00186528615596944
"54","year",0.165094805150418,0.182976061965528,0.0708910776964129,0.445680832477603,0.346736533905478,-0.151675085082394,0.221963298197766,0.0254759898768382
"55","mom",0.00769219927728539,-0.0336114268737835,-0.099043315573212,0.444720976506899,0.254274496280927,0.400975955974553,-0.145147935882567,0.125413477040569
"56","annoy",-0.0723703386753739,0.194885605321043,-0.0121470488101863,-0.406637298590572,0.197594614619449,0.154733504859183,0.0815051579683516,0.0342835692783449
"57","remember",0.0956228168824531,0.0295768845505247,0.122728797845477,0.31634210237511,0.226571240143868,0.119805765136308,0.0531267976237833,0.00431836474785254
"58","understand",0.168500693561505,0.01420728688685,0.00492992905253844,0.268267693844745,0.136456716119969,0.00876453072699131,-0.0155206275893637,0.000274134334761959
"59","wrong",0.0291849431083402,0.0761332849997714,0.074802768066413,0.22608949423935,-0.0796824024025604,-0.0197000358828114,0.145012108835757,0.0377391887897684
"60","reason",0.0201363027254077,0.0832379707303107,0.0348770636460574,0.182976600820191,0.0888427527145031,0.0365821972425502,0.174917314398029,0.00949268772848319
"61","school",0.028083405200427,-0.112836918938336,0.199945568732969,0.1828536337225,0.629903208719146,-0.139366400868807,0.169876752412671,-0.0708686294464534
"62","class",-0.335098601577973,0.0392591847910234,0.133802386380098,-0.252817391411774,0.624941903325838,-0.153207970364568,-0.142241091086835,0.0448875920547133
"63","high",0.0447572849165873,-0.128468363491823,0.208277455409261,0.199452565998657,0.616919746988777,-0.149122023612089,0.196976896566276,-0.0467577528771776
"64","hard",0.22106512668217,-0.0877919801734617,0.0458788917340136,0.0288291314444216,0.508847326457387,0.0321858717643208,0.0382063710733245,0.139659134614391
"65","work",-0.0680279525455393,0.161375644775752,0.0229651008094279,-0.0435158646591899,0.43630553982119,0.26995052264818,0.173832392523744,-0.103894914781744
"66","late",0.158978633231015,0.331095648997473,0.100026020094187,-0.0432526490625916,0.366096916288879,0.178248764924553,-0.00676926050002012,-0.197408181520072
"67","begin",0.14487932723452,0.127999391500461,0.121176101643407,0.0400662177675657,0.343236621292904,0.175049468596743,0.0869605847838979,0.253584663452833
"68","day",0.263360528611156,0.277694417965288,-0.0551592245138433,0.0871440686110668,0.337095411933224,0.121206103919966,-0.0855646041068903,-0.156034915973297
"69","cry",0.1962096296737,0.135985890655931,0.0291885555267981,0.259533126347118,0.265607490735442,0.144352418812491,0.0719480510004221,0.151880982227672
"70","car",-0.0279885339608142,0.113825038061019,0.0663725560943541,0.102931606874514,-0.0501809347208662,0.657708744624303,0.0398876115153701,0.00177957419693142
"71","yell",-0.0287269659581332,0.0149109986258351,-0.113790524104501,0.151782956988565,-0.0130302759666637,0.551370517877334,0.0297242459470841,0.115576971066477
"72","drive",0.00325847107966902,0.171812756700145,0.136007271810054,0.133177466942191,0.12564940731813,0.460899519320489,-0.00317958558769062,0.0631377269921075
"73","stop",-0.0597399970120926,0.124419633647276,0.288961270354243,-0.012176118468034,0.138688141311509,0.37176768422859,0.21919606108437,0.155543896749336
"74","mad",0.211002846444727,-0.0808733581715396,0.00407912219451622,-0.0403224213453167,-0.0555121265099244,0.35125647745656,0.0541679278900747,-0.0870188367927765
"75","react",0.0397765953496449,-0.111281029834167,0.0126978724231386,-0.0132710204981076,-0.0388006145861693,-0.328247885455022,-0.131933729059934,0.0761356327698813
"76","show",0.125944601729851,0.225311275717016,0.0668335393302978,-0.00733263604744013,0.242124681997269,0.245541309232626,0.116913522353465,0.0730882777276914
"77","game",-0.0730125522293829,-0.242466315154778,-0.13872608409047,0.00439072028595083,0.0611210553676712,0.12520139802529,0.610585724458814,-0.149495904939982
"78","play",0.04733999943608,-0.108516634921041,-0.0580069462065001,0.00328710968096463,0.0953022949506542,0.0873475911700442,0.593833665653885,-0.0771085105658977
"79","eventually",0.100356102102841,0.141164412184972,-0.0325695432765003,0.0216001238871025,0.109384795155937,0.0251416005633781,0.580107986106901,0.0294384882820928
"80","pretty",0.273322727458055,-0.0278613675530653,0.347626111804977,-0.0893408055481898,0.0373130969471271,-0.0472394043629144,0.480286918113075,-0.0337196519935044
"81","plan",0.257765370081944,0.222301899460591,-0.03628429093397,0.116736614150469,0.23640604534268,-0.0431194372002105,-0.41035477379086,-0.305242740446612
"82","point",0.15647840341849,0.217769861893696,0.250192181784721,-0.0492858409946065,0.150889190850293,0.0989688667689331,0.375756526506692,0.208871557425625
"83","explain",0.299725204085409,0.118992913126034,0.251436642550844,0.0551721464622721,0.1216737373648,0.0347377937745936,-0.313994612339105,-0.0312446581779055
"84","start",0.169272101913049,0.0480182659307331,0.0388163593416586,0.0594983589458234,0.240607500787026,0.272981115361482,0.298330654086328,0.0984059061313992
"85","experience",0.0641808435303677,-0.0135291525948801,0.197015152272814,0.171481707290449,-0.0181616354253054,-0.208289632368102,-0.233177862873694,0.0796598390168057
"86","walk",-0.0382504674791046,0.0767054389670944,0.205132502448169,-0.265034631064322,0.215998378730914,0.28259086786386,-0.22710572952,0.531445227711945
"87","nothing",0.193649689824731,0.0673936691897637,0.100348353051138,0.0473625095899006,0.000917885951247871,0.0574019360834438,0.0520576064555953,0.48812453397262
"88","call",0.161151677501572,0.136191563019525,0.271178699861242,0.164541749239377,0.182315834140305,0.146915833373824,0.0390602148480077,-0.459542722041265
"89","happen",0.264887800533021,0.0163798380120492,0.291756405636362,0.104473887478271,-0.0165672591655588,0.230210689467032,0.0500252981712977,0.421915375438576
"90","end",0.215624122726763,0.0809011452569848,0.258287368499433,0.0802599669882735,0.199918714988877,0.180490402756671,0.144403629212952,-0.318564668922152
"91","moment",0.198682013881909,0.192134467575181,0.112125072378708,0.213833806124806,0.173701049351802,0.000945322756108719,0.035438122263121,0.315167139861958
"92","justify",-0.0487447958366904,0.0104600825206105,0.0656336632229586,0.100234084287911,0.0847077997074734,-0.249523800037222,-0.125977722354139,0.26933613641619
